Participant_ID,X25...Czechia.vs.South.Africa,X26..Switzerland.vs..Bosnia.and.Herzegovina,X27..Canada.vs.Qatar,X28..Mexico.vs.South.Korea,X29..USA.vs.Australia,X30..Scotland.vs.Morocco,X31...Brazil.vs.Haiti,X32..Türkiye.vs.Paraguay,X33..Netherlands.vs.Sweden,X34..Germany.vs.Ivory.Coast,X35..Ecuador.vs.Curaçao,X36..Tunisia.vs.Japan,X37..Spain.vs.Saudi.Arabia,X38...Belgium.vs.Iran,X39..Uruguay.vs.Cape.Verde,X40..New.Zealand.vs.Egypt,X41.Argentina.vs.Austria
001,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1
002,0,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1
003,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1
004,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1
005,0,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1
006,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1
007,0,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1
008,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,1,1
009,1,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1
010,0,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,1
011,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1
012,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1
013,0,0,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1
014,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,1,1
015,0,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1
016,0,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1
017,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1
018,0,1,1,0,1,1,1,0,0,1,0,1,1,0,0,1,1
019,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1
020,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,1
