Participant_ID,X89..Canada.vs.Morocco.Predicted.score,X90..Paraguay.vs.France.Predicted.score,X91..Brazil.vs.Norway.Predicted.score,X92..Mexico.vs.England.Predicted.score,X93..Portugal.vs.Spain.Predicted.score,X94..USA.vs.Belgium.Predicted.score,X95..Argentina.vs.Egypt.Predicted.score,X96..Switzerland.vs.Colombia.Predicted.score
001,1-2,0-3,2-1,1-1,2-2,2-1,3-1,0-2
002,0-2,0-3,2-1,1-0,1-2,2-0,3-0,1-1
003,1-2,1-3,2-2,2-1,1-3,1-1,2-0,1-2
004,0-2,0-2,3-2,2-1,2-2,1-1,1-1,0-2
005,0-2,1-2,2-1,1-1,1-3,2-1,2-0,0-1
006,1-2,0-2,1-0,1-0,1-2,1-1,2-0,0-1
007,0-2,0-2,2-1,1-1,1-2,1-1,2-0,0-1
008,1-3,0-5,3-1,2-2,1-3,0-2,.,0-2
009,1-1,1-2,2-1,1-1,1-0,1-2,2-0,0-1
010,1-4,1-3,2-3,3-1,2-4,2-1,2-1,1-2
011,1-2,0-3,3-2,2-1,1-3,2-1,3-1,1-2
012,0-2,0-2,2-1,1-1,2-2,1-1,3-1,1-1
013,1-2,1-2,1-0,1-1,2-2,2-1,2-1,1-2
014,0-3,1-3,2-2,1-1,2-3,1-2,3-1,2-2
015,0-2,0-2,2-1,1-1,1-1,2-1,2-1,1-2
016,0-1,0-2,2-1,1-1,0-1,0-1,1-0,0-1
017,1-2,0-3,2-2,2-1,1-1,2-1,1-1,1-2
018,2-0,2-0,1-1,2-1,1-1,2-2,3-1,0-2
019,1-2,1-3,2-2,2-1,2-2,2-2,2-0,0-2
020,0-1,0-2,2-2,2-0,1-3,1-1,NA,NA
