Participant_ID,X73..South.Africa.vs.Canada,X74..Brazil.vs.Japan,X75..Germany.vs.Paraguay,X76..Netherlands.vs.Morocco,X77..Ivory.Coast.vs.Norway,X78..France.vs.Sweden,X79..Mexico.vs.Ecuador,X80..England.vs.DR.Congo,X81..Belgium.vs.Senegal,X82..USA.vs.Bosnia.and.Herzegovina
001,1,1,0,0,1,1,1,1,1,1
002,1,1,0,1,1,1,1,1,1,1
003,1,1,0,1,1,1,1,1,0,1
004,1,0,0,0,1,1,1,1,0,1
005,1,1,0,0,1,1,1,1,1,1
006,1,1,0,0,1,1,1,1,1,1
007,1,1,0,0,1,1,1,1,1,1
008,1,1,0,1,1,1,1,1,1,1
009,1,1,0,0,1,1,1,1,1,1
010,1,1,0,0,1,1,1,1,1,0
011,1,1,0,0,1,1,1,1,1,1
012,1,0,0,0,1,1,1,1,1,1
013,1,0,0,0,1,1,1,1,0,1
014,1,0,0,1,1,1,1,1,0,1
015,0,1,0,1,1,1,1,1,0,1
016,1,1,0,0,1,1,1,1,1,1
017,1,1,0,1,1,1,1,1,0,1
018,1,1,0,0,1,1,1,1,1,1
019,1,1,0,0,1,1,1,1,1,1
020,1,0,0,0,1,1,1,1,1,1
