Participant_ID,X97..France.vs.Morocco.Predicted.Score,X98..Spain.vs.Belgium.Predicted.Score,X99..Norway.vs.England.Predicted.Score,X100..Argentina.vs.Switzerland.Predicted.Score
001,2-1,1-1,2-1,3-1
002,3-2,2-1,2-0,1-1
003,3-1,2-0,1-1,2-0
004,3-1,2-1,2-2,2-0
005,2-1,2-1,2-2,3-1
007,2-1,1-0,1-1,2-0
008,2-2,2-3,2-2,2-0
010,3-2,2-1,3-2,3-2
011,2-1,1-0,1-2,2-1
012,3-2,2-0,2-2,2-1
014,2-3,4-2,2-1,2-0
015,2-1,1-0,2-2,2-1
016,1-0,2-0,1-2,1-0
017,2-2,2-0,2-1,3-1
018,2-1,1-0,2-1,2-0
019,3-2,2-2,1-2,3-1
020,3-2,2-1,3-1,3-2
